"","gage","gageDA","adjustedsegs","segDA","error"
"1",1487000,75.4,"EL0_4560_4562+EL0_4561_4562",70.88709832,5.98528074270557
"2",1485000,60.5,"EL2_5110_5270",56.17549896,7.14793560330579
"3",2041000,158,"JA1_7600_7570",157.9440002,0.0354429113924019
"6",2030000,116,"JL1_6760_6910",115.6790009,0.276723362068961
"7",2027500,47.7,"JL1_7080_7190",47.50289917,0.413209287211748
"8",2027000,93,"JL1_6940_7200",93.36170197,-0.388926849462364
"10",2028500,94.8,"JL1_6770_6850",93.13230133,1.75917581223628
"11",2030500,226,"JL2_7110_7120",226.7559967,-0.334511814159291
"12",2027800,148,"JL2_7240_7350",146.121994,1.26892297297297
"20",2011460,60.9,"JU1_6290_6590",60.35269928,0.898687553366167
"21",2018500,34.3,"JU1_7750_7560",34.29169846,0.0242027405247753
"23",2014000,153,"JU2_7450_7360",156.0039978,-1.96339725490197
"32",1651000,49.4,"PL0_4510_0001",52.1405983,-5.54776983805668
"34",1658500,7.62,"PL0_5540_5490",7.385240078,3.08083887139108
"36",1660400,35,"PL0_5730_5690",34.53530121,1.32771082857143
"37",1656000,93.4,"PL1_5370_5470",93.23410034,0.177622762312642
"39",1639500,102,"PM1_3120_3400",107.762001,-5.64902058823529
"40",1639000,173,"PM2_2860_3040",172.6419983,0.206937398843924
"42",1643700,122,"PM2_4860_4670",121.177002,0.674588524590163
"47",1634500,102,"PS1_4790_4830",102.0770035,-0.0754936274509839
"48",1632000,210,"PS2_5550_5560",209.8710022,0.0614275238095274
"58",1605500,179,"PU0_6080_5620",180.0140076,-0.566484692737438
"60",1595200,48.7,"PU1_4840_4760",49.14780045,-0.919508110882947
"63",1604500,221,"PU2_4360_4160",218.6230011,1.07556511312217
"64",1607500,103,"PU2_6050_5190",112.5940018,-9.31456485436893
"78",1666500,179,"RU2_5940_6200",179.826004,-0.461454748603358
"79",1665500,115,"RU2_6090_6220",114.6900024,0.269563130434785
"80",1663500,285,"RU2_5810_5610+RU2_5500_5610",281.8219985,1.11508824561403
"84",1581700,34.8,"WU1_3240_3331",34.97869873,-0.513502097701152
"85",1583500,59.8,"WU1_3350_3490",59.89080048,-0.151840267558538
"87",1591000,34.8,"XU0_4130_4070",34.56200027,0.683907270114938
"88",1594000,98.4,"XU0_4091_4270+XU0_4090_4270",97.43529892,0.980387276422776
"92",1674000,256,"YM2_6120_6430",257.394989,-0.544917578125004
"94",1673550,25.5,"YP0_6860_6840",25.33130074,0.661565725490197
"95",1670400,342,"YP2_6390_6330",341.928009,0.0210500000000074
"96",1672500,395,"YP3_6470_6690",395.2669983,-0.0675945063291169
