"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",6.04,3.13,48.2
"Med. 1 Day Min",38,20.6,45.8
"Min. 3 Day Min",6.42,3.25,49.4
"Med. 3 Day Min",38.7,20.9,46
"Min. 7 Day Min",7.18,3.53,50.8
"Med. 7 Day Min",44.1,22.3,49.4
"Min. 30 Day Min",10.7,6.36,40.6
"Med. 30 Day Min",50,34.9,30.2
"Min. 90 Day Min",17.8,15.8,11.2
"Med. 90 Day Min",74.1,57.5,22.4
"7Q10",15.7,8.45,46.2
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",39.3435342465753,36.7958167553331,6.48
"Mean Baseflow",100,111,-11
